,1A,1B,2A,2B,3A,3B,4A,4B,5A,5B,6A,6B,7A,7B,9A,9B,10A,10B
cg18107314,0.03774867,0.06203985,0.4846157,0.47298,0.02268746,0.06153011,0.4156931,0.4613179,0.5064861,0.4851599,0.482757,0.4807336,0.4873501,0.4126319,0.04865672,0.0386,0.05170863,0.03824424
cg10117077,0.2432645,0.2393865,0.243141,0.2465722,0.7310985,0.7343772,0.2494604,0.2407992,0.2839762,0.2248838,0.6929511,0.7138131,0.6930518,0.6186027,0.2928339,0.277492,0.2265496,0.2530151
cg15559833,0.02961203,0.03893284,0.6642495,0.6756381,0.6961269,0.7263072,0.4352774,0.4326277,0.4179037,0.4178884,0.6654406,0.7066911,0.6719352,0.7134659,0.6513611,0.6605595,0.674255,0.6756087
cg07179930,0.8035687,0.8047525,0.1072493,0.1782477,0.7767833,0.8256757,0.5345715,0.5258577,0.7351228,0.7007135,0.8440969,0.818277,0.5594678,0.5907483,0.7984062,0.8241979,0.7884538,0.7641339
cg13354893,0.5367496,0.6744151,0.6769048,0.7280828,0.6823135,0.7132888,0.05623641,0.05894943,0.4168678,0.3807111,0.6769752,0.7867237,0.6752256,0.6832893,0.4035293,0.4576528,0.6080645,0.7234083
cg17149911,0.6156835,0.6524823,0.568968,0.6220977,0.613963,0.6050973,0.5740741,0.5956601,0.9443691,0.9084101,0.566341,0.5924022,0.5784235,0.6923077,0.5837364,0.5608503,0.03493151,0.0836278
cg17392043,0.9463956,0.9486111,0.9557968,0.9138002,0.9595788,0.9110512,0.9259097,0.0041841,0.9333769,0.926255,0.9062845,0.9394036,0.9234694,0.923913,0.9229808,0.9165138,0.8787755,0.874061
cg20670088,0.01925321,0.0138769,0.4665156,0.4438904,0.01540774,0.01585636,0.4310906,0.4255757,0.4167015,0.4272813,0.4659866,0.4476799,0.4585396,0.4085375,0.01393378,0.009771548,0.01042874,0.01250537
cg04300278,0.07364341,0.1432266,0.4989826,0.5053504,0.04474343,0.07089388,0.4980614,0.4991422,0.5032354,0.483274,0.4762876,0.504411,0.5096542,0.4822856,0.05123736,0.05074971,0.073368,0.06808134
cg14550076,0.8936553,0.902695,0.9324549,0.9463931,0.920523,0.917295,0.8994083,0.9388552,0.9348448,0.9301999,0.9211112,0.9396214,0.9332298,0.920331,0.9291041,0.001414427,0.9271935,0.9192399
cg22712681,0.01707556,0.03249605,0.4682227,0.4614035,0.01718425,0.0272629,0.4226625,0.4601088,0.4372099,0.4501817,0.4814684,0.4791998,0.4681986,0.4166583,0.05678206,0.01868161,0.03148855,0.03857613
cg12829224,0.02962032,0.02215036,0.4365418,0.4417891,0.02542116,0.02205774,0.4618174,0.458481,0.4923236,0.4556718,0.4772738,0.4677952,0.4092689,0.371128,0.02625497,0.009614478,0.02613024,0.03170304
cg10863922,0.8634476,0.905706,0.8224094,0.8779768,0.9382003,0.9598938,0.7418014,0.8804146,0.8821486,0.9267384,0.002173913,0.9434552,0.911806,0.8894895,0.9197138,0.95218,0.7093975,0.7993912
cg06441867,0.08142841,0.1055074,0.4932134,0.4957641,0.08479679,0.08206776,0.4948072,0.5040867,0.5506424,0.5128137,0.5174752,0.5399061,0.4865762,0.4797154,0.06965174,0.06997322,0.08649174,0.08326841
cg13431666,0.05688773,0.04738522,0.4814718,0.4910606,0.06431865,0.06653393,0.4620724,0.459495,0.4942362,0.4605008,0.5054939,0.5191496,0.4843223,0.4556443,0.05412826,0.04937475,0.04874752,0.06458431
cg10594585,0.06456801,0.08009153,0.03785063,1,0.07565511,0.06720978,0.05649718,0.08406139,0.07743686,0.07464325,0.09305185,0.0946472,0.09534884,0.05693582,0.1110337,0.1267606,0.07488562,0.08836158
cg07301957,0.04099471,0.03648562,0.4720588,0.4651464,0.02165778,0.06009214,0.4505708,0.4818917,0.4544131,0.4491484,0.4554375,0.4855662,0.4732512,0.4139877,0.05374932,0.009458865,0.02685901,0.03585133
cg21544051,0.02913552,0.06234846,0.4447557,0.4513953,0.0313783,0.07716388,0.4607603,0.4394863,0.5265549,0.45372,0.4513526,0.5054198,0.5161928,0.4354854,0.0047553,0.049475,0.05294659,0.06278896
cg08269402,0.5326022,0.5744103,0.5813307,0.6337331,0.9619245,0.9670241,0.9508573,0.9560774,0.2932388,0.2746488,0.7863693,0.7900867,0.8385171,0.8566352,0.5819664,0.5612042,0.8249915,0.8551414
cg00347850,0.08554883,0.1169794,0.5314042,0.514899,0.1142326,0.09625571,0.5005475,0.5095438,0.5249145,0.4826215,0.5175412,0.5320907,0.5427447,0.4697802,0.07519531,0.06118812,0.07195976,0.08734445
cg01081438,0.4568146,0.4343966,0.4286463,0.4078302,0.07343432,0.07369309,0.07313127,0.06159868,0.06610586,0.06552262,0.07531855,0.08150985,0.06587414,0.07031653,0.05445798,0.05616118,0.6681436,0.6051434
cg22682567,0.02086677,0.02561937,0.4125538,0.386895,0.02906417,0.03581221,0.3930096,0.4265286,0.4628489,0.463413,0.4999014,0.5205545,0.470562,0.4373539,0.00651778,0.01733781,0.03179678,0.04340554
cg22449896,0.05739809,0.07273769,0.4944247,0.4955924,0.05504336,0.04980183,0.4284491,0.4758939,0.4847135,0.4758487,0.472801,0.4921094,0.4961448,0.4161147,0.04654697,0.04119608,0.03722643,0.03591108
cg13645300,0.06946052,0.08119377,0.5173039,0.5102274,0.08556487,0.06073714,0.4857619,0.4903559,0.4723598,0.4697113,0.4849172,0.5078267,0.5112879,0.4791553,0.05766871,0.06302394,0.06090097,0.06585455
cg15140937,0.8141463,0.8762242,0.8445084,0.8824793,0.8402508,0.8226152,0.9097151,0.7998488,0.8129676,0.8483804,0.8297655,0.8727151,0.8545932,0.764639,0.31,0.06764706,0.8386143,0.8524889
cg02284587,0.1793514,0.1440136,0.118932,0.07369146,0.108509,0.1355535,0.0604782,0.02213073,1,0.09943978,0.0197336,0.1209205,0.01722338,0.08897302,0.1239295,0.1135135,0.1011458,0.0955684
cg07665466,0.9258836,0.9271517,0.9188026,0.9191323,0.9096859,0.903079,0.9169663,0.9006005,0.9447658,0.9512618,0.9254878,0.9243638,0.9411457,0.912812,0.000999001,0.9215771,0.9165051,0.9247003
cg19707653,0.447798,0.5151923,0.7618307,0.8201635,0.4957656,0.4424442,0.4795773,0.4299766,0.4901159,0.4499722,0.446568,0.5054588,0.4618938,0.4298478,0.8141474,0.8100921,0.04213865,0.04545455
cg01303569,0.01939272,0.01298796,0.4397948,0.4255047,0.006277464,0.03382221,0.4307127,0.4580247,0.4366982,0.4458359,0.4617407,0.4770282,0.4371599,0.3992281,0.01360745,0.01689853,0.008366301,0.02372084
cg15988321,0.7780072,0.6596141,0.7352335,0.7361343,0.6595105,0.6585366,0.4315014,0.4230411,0.7672345,0.6425431,0.4832921,0.4987881,0.03867499,0.05287759,0.7096825,0.6491015,0.4902321,0.4628099
cg23496593,0.06422345,0.06525545,0.4287275,0.3851227,0.05947955,0.07258539,0.4484634,0.4997276,0.515333,0.5342197,0.546916,0.4989416,0.4883196,0.4246701,0.03841321,0.03868765,0.067403,0.06240971
cg05554396,0.03191116,0.04426248,0.4971773,0.4777678,0.04329542,0.03523694,0.4221332,0.4532179,0.4718402,0.4536914,0.4548336,0.4717187,0.4712267,0.4089045,0.02546869,0.01902055,0.03211329,0.04618494
cg20213329,0.1779707,0.2032677,0.2417178,0.1965742,0.1875,0.2542373,0.1787671,0.1505814,0.7474141,0.6823004,0.2453306,0.2238034,0.7032656,0.7100947,0.2427083,0.1707176,0.1898557,0.2464058
cg22972806,0.7185715,0.7444259,0.1167827,0.1405354,0.8232308,0.8302274,0.8103392,0.8181936,0.8179698,0.828008,0.7270335,0.7277798,0.7321076,0.7042369,0.820837,0.8412279,0.8183328,0.8083692
cg15262352,0.1020234,0.05672269,0.09053498,1,0.08945908,0.0755824,0.0620155,0.07472855,0.07115039,0.0531014,0.09478443,0.08847656,0.05674053,0.1151316,0.07493241,0.073219,0.08624195,0.09828592
cg03854098,0.3868583,0.4029301,0.3427776,0.3274032,0.6553964,0.6452923,0.6933583,0.6458022,0.3931624,0.3536748,0.7022513,0.669982,0.03339049,0.03450374,0.6481749,0.6698656,0.6435789,0.6250871
cg17404449,0.8380257,0.7971815,0.7909946,0.8222291,0.7560128,0.7497837,0.8023111,0.7937305,0.8555077,0.7938977,0.8178713,0.8088295,0.7690063,0.789316,0.1519435,0.1129884,0.8187978,0.7900576
cg15281606,0.04941995,0.04146449,0.5070315,0.5473087,0.02792793,0.03768647,0.04696719,0.0459591,0.5697159,0.5523184,0.03681257,0.03322451,0.03885903,0.03385511,0.02061212,0.02087114,0.03696789,0.04601426
cg16243644,0.07872389,0.08693852,0.5218259,0.4743176,0.07322378,0.1067302,0.4987631,0.5157635,0.5456364,0.4972671,0.5201086,0.5663069,0.5433638,0.4817443,0.09468985,0.08402936,0.1048568,0.1220739
cg08152721,0.8069277,0.8315534,0.8277815,0.8778886,0.8744067,0.852858,0.7986479,0.8401776,0.8305085,0.8541721,0.8461386,0.887987,0.04975124,0.3453453,0.8572474,0.8827356,0.8195395,0.8582357
cg14474963,0.05172414,0.07330696,0.5093205,0.5105832,0.0714633,0.07515372,0.4438277,0.4847124,0.4766259,0.4688995,0.5198404,0.5556976,0.5305928,0.4864912,0.06065089,0.07296242,0.09390981,0.115394
cg23643835,0.8986486,0.8599424,0.9511785,0.9688227,0.9209932,0.9043803,0.9049865,0.8358017,0.928117,0.00617284,0.9381238,0.9302462,0.9184188,0.8769084,0.953719,0.8755102,0.9801053,0.8998048
cg16641190,0.02968834,0.02160567,0.4085113,0.3677961,0.01887019,0.02002315,0.4334736,0.4469697,0.4679162,0.4570664,0.4742412,0.4669979,0.4885309,0.4126779,0.02996506,0.008543531,0.02204149,0.0151532
cg11426075,0.1336986,0.124739,0.08098592,0.03672239,0.09976247,0.07810443,1,0.09505834,0.1773743,0.1155513,0.08819824,0.06804849,0.06078297,0.08845096,0.06837607,0.0330388,0.1089928,0.069439
cg26857803,0.01014823,0.01248659,0.4169025,0.3944985,0.01210694,0.0190046,0.3979864,0.4771589,0.4566432,0.4436413,0.4267566,0.4596791,0.479762,0.3947368,0.01638342,0.01282051,0.01179289,0.004871426
cg08332163,0.8119744,0.8321703,0.8235776,0.8388947,0.8207703,0.8391744,0.8415246,0.8355754,0.85652,0.8150853,0.8382958,0.8539247,0.8485621,0.8112512,0.1654987,0.1613577,0.8393479,0.8400465
cg23019589,0.02305296,0.02819262,0.6078321,0.5623841,0.5278909,0.5514737,0.388518,0.3656667,0.4222598,0.3991748,0.3991392,0.3516452,0.03652067,0.03411744,0.01166781,0.02927981,0.4450368,0.3888764
cg14520892,0.04792267,0.04954342,0.4578843,0.4359193,0.0357406,0.05854109,0.4486705,0.4905056,0.4840837,0.4401447,0.4854095,0.5260053,0.4676298,0.4414548,0.03383631,0.02934347,0.04711632,0.05821722
cg20565764,0.07271557,0.0593413,0.09342181,0.09250948,0.4618504,0.4332369,0.1048194,0.07180797,0.4358279,0.4195913,0.07817888,0.07976943,0.4455462,0.457841,0.4206314,0.4323519,0.6719931,0.6556831
cg24832428,0.002762694,0.01515877,0.409828,0.426571,0.003329172,0.01516779,0.3872959,0.4246266,0.4485002,0.4372463,0.4583767,0.4545901,0.4764094,0.4012267,0.01543147,0.0176177,0.002524257,0.004120975
cg02217425,0.5323485,0.5863685,0.8301657,0.8480932,0.5621267,0.6148845,0.5531637,0.5573204,0.1650153,0.1024081,0.851041,0.8283993,0.5734357,0.5803687,0.5194536,0.5639111,0.834473,0.8501161
cg16734817,0.03212121,0.03286231,0.4253205,0.4170565,0.02569232,0.01151528,0.4310798,0.4839825,0.4557936,0.4529557,0.4562179,0.4693718,0.4971633,0.3727526,0.02354748,0.0142443,0.02626887,0.03080274
cg22487450,0.9119785,0.9207188,0.000901713,0.9142346,0.9280846,0.9146087,0.9602141,0.9158909,0.9355175,0.9441005,0.9301265,0.9136707,0.9194991,0.8944882,0.9225959,0.9099548,0.9109111,0.8864917
cg16637019,0.04100483,0.05304501,0.4630409,0.4513513,0.04161499,0.047936,0.4544564,0.4611898,0.4404713,0.4538383,0.5072209,0.5031689,0.4934782,0.4610169,0.04148762,0.03734982,0.05535782,0.04674597
cg25514427,0.08509861,0.0538536,0.5187761,0.4912042,0.07848444,0.05464121,0.4887064,0.5079699,0.4967311,0.4865672,0.4867409,0.4960819,0.4946955,0.4524084,0.075,0.05264275,0.06717628,0.07931757
cg23084506,0.703373,0.6479385,0.2898032,0.2351454,0.3253012,0.3863319,0.693575,0.6616615,0.7094972,0.6543267,0.7023455,0.6743026,0.3672986,0.3285124,0.6289967,0.6772152,0.1893617,0.06796117
cg00157199,0.635382243,0.579788338,0.40913006,0.395204513,0.212951432,0.187113047,0.223832126,0.246842983,0.619180959,0.661608154,0.807202216,0.766961652,0.612871674,0.490464548,0.32514313,0.357570384,0.169334261,0.134703196
cg17444608,0.07173863,0.08821875,0.4843815,0.5011859,0.5011425,0.5045834,0.05802901,0.05727302,0.07120215,0.0592519,0.07072094,0.06266067,0.4864459,0.505479,0.4949431,0.4834075,0.08756856,0.08376347
cg04675919,0.04166667,0.04786598,0.4087318,0.4425295,0.001012585,0.0368947,0.4780582,0.4361137,0.4700344,0.4540746,0.4968983,0.5162722,0.5059174,0.4507096,0.06571559,0.06380877,0.04484867,0.0567643
cg11082424,0.00719856,0.02427714,0.4446737,0.4200014,0.009872838,0.0199035,0.3837864,0.3854167,0.4681173,0.4105856,0.4764846,0.4550906,0.4956398,0.434554,0.01230943,0.01862119,0.009818437,0.02864116
cg11464216,0.9061135,0.945283,0.9230986,0.8973105,0.9110144,0.9287675,0.9351152,0.9133739,0.9267507,0.9357916,0.9182023,0.9399839,0.9322917,0.9274868,0.9087896,0.9150422,0.8989762,0.002188184
cg22484503,0.06045459,0.04856533,0.4732362,0.5159731,0.0601957,0.05776616,0.4300811,0.466683,0.4843052,0.4660285,0.4653832,0.5109649,0.5176153,0.4524882,0.06964802,0.04379711,0.05034345,0.05600744
cg04012614,0.1462844,0.1191355,0.5349219,0.5814949,0.07675676,0.1212625,0.4941418,0.5231941,0.5522352,0.4894009,0.5541782,0.5319337,0.5367868,0.4799885,0.08566896,0.05589744,0.1386442,0.1174187
cg00276426,0.05680869,0.1282205,0.5447627,0.5968944,0.06334597,0.1391788,0.4445953,0.4203033,0.5570025,0.4978181,0.4875761,0.5604244,0.4540155,0.4338521,0.06934594,0.09152216,0.06429652,0.07759563
cg17224287,0.06873047,0.09122807,0.5303369,0.4874011,0.06339523,0.06890734,0.511255,0.4742299,0.4834123,0.4555679,0.545165,0.528344,0.5034213,0.458009,0.06681648,0.06637303,0.08140184,0.1002369
cg10721440,0.01163056,0.01265302,0.4315263,0.4243711,0.009457125,0.005810371,0.3827788,0.4119147,0.4584804,0.4754189,0.4414457,0.4886827,0.4385599,0.334663,0.004625578,0.01160005,0.003029729,0.01478425
cg10030436,0.04580472,0.06561351,0.5015823,0.4878456,0.07609565,0.05223516,0.4452413,0.478152,0.4752128,0.463701,0.483304,0.5129602,0.4986558,0.453334,0.03956114,0.04183352,0.06837884,0.06700085
cg21196772,0.8573989,0.8996607,0.9054983,0.8881734,0.85796,0.8880349,0.8642336,0.8860185,0.9104963,0.9145161,0.8826411,0.8942568,0.9109254,0.8776291,0.2015504,0.2307692,0.8281567,0.8703063
cg19821612,0.05095139,0.06500091,0.3920628,0.3836001,0.06832886,0.05999101,0.4896266,0.5050662,0.5152055,0.4864549,0.4932776,0.5090251,0.5262061,0.5025694,0.06413324,0.06043709,0.07122726,0.05674216
cg10102167,0.05574572,0.05499761,0.458754,0.4654892,0.05038367,0.08079821,0.4478103,0.46499,0.5202165,0.4726077,0.5011291,0.5215923,0.5051386,0.4001448,0.04418683,0.04118957,0.05742297,0.05602401
cg01206544,0.04989134,0.05538639,0.4660661,0.4511928,0.02827704,0.03486166,0.3999333,0.4257946,0.4682981,0.456637,0.5095353,0.4708822,0.4741463,0.4962579,0.03596355,0.03039596,0.03887077,0.04802015
cg18492813,0.002471718,0.003842909,0.4311458,0.4203392,0.007817109,0.007424211,0.3966232,0.4590326,0.4055583,0.4259561,0.4079981,0.4516416,0.4652944,0.4200395,0.002762148,0.009919284,0.007881126,0.001545823
cg04298672,0.01572683,0.01831253,0.4805097,0.4439711,0.03213586,0.02609438,0.4110654,0.426049,0.437549,0.4854735,0.4328773,0.4761905,0.4305281,0.3844125,0.003132926,0.02031503,0.009690444,0.02888711
cg13120260,0.01597522,0.02545763,0.4459996,0.4484841,0.009262579,0.01121474,0.3885767,0.4360302,0.4971315,0.4596468,0.4354583,0.4469982,0.4250967,0.3899503,0.01742408,0.006685406,0.02330758,0.0157821
cg03671371,0.1293307,0.1430244,0.5692511,0.5506889,0.1073288,0.1390152,0.5178821,0.5458548,0.57222,0.5579839,0.5371679,0.5572963,0.5682275,0.526948,0.1087466,0.09650582,0.1358696,0.1633541
cg00587941,0.1742508,0.3057504,0.9005263,0.9119123,0.8819005,0.9024101,0.8997008,0.9088307,0.9161342,0.8997173,0.9045166,0.9079612,0.9096932,0.8853066,0.928455,0.9269176,0.8995427,0.9129858
cg15802548,0.04717643,0.05345749,0.4965674,0.5221206,0.07291366,0.06971975,0.48122,0.5027848,0.4776786,0.4589933,0.4899245,0.5034418,0.4798344,0.4675244,0.06155757,0.06030151,0.07122944,0.08350638
cg08065501,0.04191981,0.05884527,0.4989891,0.4909567,0.05132301,0.05320168,0.4501303,0.4825696,0.4834806,0.4451418,0.4486998,0.5061471,0.4768031,0.4568778,0.04554033,0.03485076,0.06732788,0.05721262
cg09103377,0.8589398,0.8274941,0.8638791,0.877369,0.8510207,0.8651671,0.8280377,0.804527,0.8651285,0.789141,0.8798067,0.8752839,0.8543298,0.83907,0.3267813,0.07216495,0.8735235,0.8721361
cg05786429,0.05539252,0.08126337,0.07000893,0.08135518,0.06776034,0.0766525,0.09617428,0.089059,0.109938,0.09069174,0.05392774,0.0870412,1,0.09219986,0.06498195,0.08363903,0.09086436,0.1149804
cg12040381,0.03244722,0.03772997,0.5537167,0.5385298,0.5527935,0.5247525,0.5371143,0.5247236,0.06162465,0.02464661,0.5754291,0.5511973,0.5468783,0.5375552,0.5475348,0.5010772,0.5520317,0.5746451
cg22824415,0.03683206,0.01607606,0.4596151,0.4850322,0.03671849,0.02847791,0.4250837,0.4946004,0.4436441,0.4437232,0.4406717,0.5238187,0.4518434,0.2603797,0.03844614,0.02360175,0.0321299,0.03599855
cg10347326,0.06497826,0.05703913,0.4511076,0.4502602,0.03100661,0.04012452,0.4715077,0.432646,0.4967509,0.4962959,0.4879903,0.5081402,0.4610496,0.4420095,0.05271161,0.03783525,0.05027763,0.04712233
cg26387458,0.8183796,0.75,0.1791134,0.08213301,0.5848329,0.4959317,0.4782158,0.5696871,0.7959364,0.8128834,0.4887695,0.5677966,0.9128992,0.8155162,0.4833333,0.5606218,0.54836,0.6204411
cg13338084,0.04918256,0.06817135,0.4751861,0.465998,0.05764233,0.04283865,0.4544628,0.4703824,0.5072145,0.4709969,0.5037362,0.5368594,0.4654147,0.4266968,0.07205377,0.04227833,0.04827781,0.06975677
cg23390607,0.8016838,0.769802,0.8295408,0.8069909,0.1357143,0.2750253,0.7762864,0.786423,0.4603803,0.5029586,0.8723571,0.8146399,0.8323882,0.770195,0.8324646,0.8206725,0.5223048,0.5277507
cg02626719,0.06362007,0.1451783,0.5240871,0.5086725,0.08684133,0.08043217,0.5093864,0.5198715,0.5021059,0.4868744,0.5311159,0.5271788,0.5416352,0.5111598,0.0510646,0.1029172,0.08360176,0.1479235
cg12217778,0.05160165,0.05559337,0.4808366,0.4836264,0.05407159,0.04933149,0.4344288,0.4288395,0.5054582,0.4593932,0.5136443,0.5113364,0.4822076,0.4309749,0.04190605,0.04706558,0.05686887,0.05835794
cg27187580,0.9291024,0.9289903,0.5875625,0.6098671,0.5793161,0.6081617,0.6,0.5988716,0.616217,0.5964047,0.04997203,0.06314522,0.6044957,0.5745562,0.5560895,0.5683959,0.6143432,0.6159643
cg07761942,0.8735101,0.8855147,0.906338,0.8814057,0.9087513,0.9192876,0.8781478,0.883844,0.9058184,0.8921243,0.9048229,0.9044337,0.2189922,0.2302158,0.8836585,0.8871588,0.8984243,0.8856233
cg08282969,0.1356421,0.1736579,0.5626451,0.5864386,0.1831153,0.1839827,0.6042019,0.5684272,0.595572,0.5834783,0.5979319,0.6075175,0.5724349,0.5472092,0.1670079,0.1518125,0.1443344,0.1429965
cg09598844,0.04965575,0.05814612,0.4670388,0.4542363,0.07210087,0.06863442,0.4578022,0.4741436,0.5009216,0.4977857,0.5108982,0.4852989,0.4685361,0.471555,0.04948665,0.05788097,0.02662722,0.0678733
cg01573321,1,0.1480346,0.000109589,0.07872645,0.09041179,0.100156,0.125712,0.09104914,0.09711246,0.06999059,0.09140639,0.07735954,0.09185648,0.07515789,0.1156904,0.06271031,0.1494422,0.09095135
cg12466610,0.09827316,0.07508532,0.08505155,0.1011278,0.5251735,0.5473635,0.08549706,0.07987265,0.08854167,0.05719436,0.5452854,0.5604383,0.07697557,0.09259259,0.4970602,0.5037666,0.0941862,0.08080526
cg03900028,0.5081327,0.4903069,0.5359029,0.5455426,0.522589,0.5172373,0.5330829,0.5497171,0.5674478,0.5293003,0.914639,0.9176822,0.5359543,0.5325048,0.03254225,0.02967492,0.5231405,0.5315052
cg21890239,0.05640659,0.07344772,0.520112,0.4659332,0.07341403,0.069406,0.4683189,0.4830417,0.474247,0.4929196,0.5203626,0.4740449,0.5245102,0.4437826,0.05591032,0.07737247,0.06167205,0.05266538
cg04461101,0.7214968,0.7073098,0.2564741,0.3538743,0.3167457,0.3073497,0.3706122,0.3510119,0.3547541,0.3196507,0.7448616,0.7751672,0.7014905,0.7174571,0.3279621,0.1656535,0.7100439,0.7297364
cg01730928,0.2119765,0.1719493,0.6047348,0.5854619,0.1419032,0.1554252,0.597417,0.5571363,0.6286588,0.5618557,0.5619601,0.5980015,0.5811346,0.5867885,0.1572432,0.1092317,0.2412032,0.1487715
cg11143827,0.9819773,0.9876938,0.548928,0.5379267,0.9838911,1,0.5499443,0.60389,0.5910112,0.5697072,0.5651757,0.5770407,0.5583031,0.527676,0.9823981,0.979342,0.9859094,0.9788157
cg20201388,0.1388811,0.08836311,0.4994536,0.5075977,0.09024228,0.1168686,0.5649414,0.5137793,0.5347413,0.5081933,0.5606713,0.5370529,0.5324725,0.4984533,0.1062345,0.05241935,0.1360334,0.1126033
cg15482884,0.1943888,0.1973333,0.1470343,0.1752074,0.1531008,0.1545386,0.5849745,0.5619125,0.2192513,0.1405229,0.6455026,0.5888,0.5661631,0.4828897,0.5918046,0.5517606,0.6877095,0.6106265
cg03250346,0.07511013,0.06107682,0.5151184,0.4981652,0.06891423,0.1150278,0.5064845,0.5246444,0.5034933,0.4900694,0.5681224,0.5520136,0.5316964,0.4605721,0.08544423,0.1084986,0.1125512,0.1356071
cg19166406,0.6694097,0.6623127,0.739676,0.7509078,0.6874476,0.678145,0.7851064,0.8059119,0.3145336,0.2243685,0.6673672,0.7777513,0.3330189,0.2883675,0.6757576,0.7276952,0.2604307,0.2788708
cg01307206,0.08325709,0.07275986,0.6130624,0.6592907,0.7973599,0.800975,0.6411313,0.6298197,0.6464497,0.5722625,0.7064825,0.7290582,0.6816401,0.618656,0.7840541,0.8077452,0.748985,0.8233035
cg06844719,0.6600484,0.7208992,0.7035471,0.7651825,0.7696401,0.801554,0.6375839,0.7866331,0.6419365,0.7243057,0.7723709,0.82713,0.1623711,0.4081146,0.6972892,0.8176808,0.3102041,0.1694215
cg16318983,0.05823849,0.03875,0.4777191,0.4586017,0.03947918,0.06536123,0.4495913,0.4533879,0.516483,0.4751273,0.4995061,0.4853512,0.4865833,0.4386876,0.06024504,0.06414793,0.04545455,0.04771486
cg13203982,0.8423194,0.8269077,0.3527981,0.3192771,0.8024494,0.8148397,0.8033626,0.8233911,0.7951633,0.8075916,0.8458066,0.8353823,0.8248945,0.7740453,0.7900459,0.8288781,0.1662404,0.4662757
cg00631877,0.5918367,0.6459555,0.6269157,0.5747936,0.6280992,0.6388752,0.9206411,0.9018996,0.6007505,0.5934118,0.08742331,0.02996845,0.5789011,0.6225806,0.5800236,0.5691445,0.6158192,0.7020517
cg27292235,0.01237372,0.01855274,0.4427809,0.4454856,0.01452817,0.01451751,0.4351183,0.4262168,0.4242003,0.4695352,0.4358192,0.4773461,0.4287968,0.3730678,0.01132647,0.01665498,0.01705646,0.01337524
rs1510189,0.4670571,0.4491726,0.4592032,0.4611466,0.5048272,0.5317062,0.4363489,0.4896667,0.06971725,0.04517356,0.4620958,0.4900784,0.4935081,0.5135762,0.9438312,0.942144,0.4641355,0.4829745
cg03871183,0.0471464,0.06887942,0.5221917,0.4804558,0.04885218,0.06807512,0.4027992,0.4654913,0.5183995,0.5149206,0.487297,0.5276506,0.4635296,0.4520852,0.06818182,0.05308501,0.08047438,0.08245156
cg08318837,0.1064664,0.1528497,0.5379686,0.5364982,0.1255374,0.1207243,0.5182105,0.6446955,0.5885417,0.5103977,0.5678299,0.5664862,0.5708256,0.538065,0.09014322,0.2004062,0.1201317,0.2289655
cg27174778,0.9166083,0.003472222,0.9571841,0.9164237,0.8907307,0.9182444,0.9365266,0.9285914,0.9424337,0.874864,0.9253731,0.9060638,0.9513911,0.8962536,0.8925463,0.9184534,0.9151559,0.8750466
cg16474696,0.4812643,0.4569456,0.2359294,0.2350291,0.2953793,0.3135114,0.3217763,0.2623613,0.8617363,0.8897919,0.5334753,0.5447136,0.276186,0.2964543,0.7441307,0.7564953,0.4671821,0.4582287
cg26536949,0.6224362,0.5298366,0.1172249,0.09122288,0.5550886,0.560118,0.5578086,0.6486037,0.8623504,0.8105842,0.5421836,0.5722412,0.6060237,0.3956553,0.6036762,0.6393489,0.8508221,0.8707865
cg23832225,0.04750674,0.09292744,0.4718475,0.4886456,0.07329843,0.08055488,0.4822624,0.4633252,0.4836649,0.5285598,0.5012479,0.5103387,0.473884,0.5496923,0.05666753,0.07969215,0.08825657,0.07917384
cg24183173,0.9479488,0.9146341,0.5048112,0.497244,0.9407246,0.9382466,0.484905,0.542522,0.5070646,0.5255712,0.4990615,0.5513663,0.5328444,0.4995313,0.9241849,0.9407205,0.921255,0.9582178
cg25384477,0.05648604,0.05218281,0.4612556,0.4995045,0.05392157,0.07219032,0.46191,0.4581883,0.4990479,0.4422119,0.5596463,0.4832553,0.4708194,0.395698,0.02210699,0.07570073,0.08179694,0.03020751
cg16325777,0.1479821,0.09932861,0.09776147,0.1222189,0.08694071,0.07488832,0.05157699,0.06422804,0.07861092,1,0.1337303,0.09997984,0.08214967,0.05937354,0.06037736,0.06940371,0.09184064,0.09993787
cg03906572,0.01275313,0.03870046,0.4333393,0.4537951,0.01559034,0.02416313,0.4057217,0.408,0.4746008,0.4616601,0.4739537,0.4966478,0.4376418,0.3797464,0.01793017,0.02227115,0.02998748,0.02353563
cg16639627,0.1007512,0.07883666,0.4959791,0.5094294,0.1431871,0.1671404,0.5123858,0.5176928,0.5263767,0.5189365,0.5247059,0.5400778,0.5251511,0.501335,0.06455072,0.05017182,0.09350649,0.08404983
cg13318368,0.07049668,0.08111502,0.4855844,0.4892949,0.06289881,0.05752141,0.4561912,0.5028016,0.4978238,0.4531692,0.489659,0.5315436,0.502028,0.431318,0.04875822,0.05588484,0.07007768,0.06134636
cg13106051,0.8573454,0.8879288,0.8684005,0.8730112,0.8799085,0.9076244,0.8530827,0.867368,0.8934785,0.8883176,0.2584098,0.1686747,0.8825681,0.8952989,0.8836868,0.8727321,0.8748063,0.8761562
